id,merchant_id,buyer_id,transaction_timestamp,payment_amount,chargeback_timestamp
547601f8-6288-403d-8711-0d4e752f231c,2512b0ea-644d-4440-801d-63ca077a3ea0,6bbc28bd-49b8-424d-89c5-4239d5147e4e,2022-05-22 09:55:54,6352,
4e069be8-e01b-4aee-bf1b-f3ddfc8cde6d,696b3ae8-a375-459b-ac76-cb17e15aec39,d4618c41-c414-4b4f-b439-e4f70b391496,2022-08-08 20:41:07,2810,
bd64067f-5db1-4614-88ee-e678bad2ccce,5032c286-4189-4df1-8d8f-850e3ff44411,b1de3a9b-3688-4fc7-8c1d-87f669d9243e,2022-07-10 18:20:25,5226,
2bebdfe8-f421-4ac5-9706-76938f0c0f64,0ae96c8a-1a2a-4070-8439-1d8e1a741238,e45a8c36-5720-4125-88b8-10e4c745fad4,2022-03-02 18:05:47,725,2022-03-10 03:24:40.790145
393f61b7-e789-41f7-9727-2e7d629e87d0,737032c5-6935-47bb-af7a-2d1e455a77cf,0cba1762-b083-4747-bf28-416906b29d2b,2022-02-12 09:08:37,2437,
66cde975-c1cc-4160-8514-b556486cdb90,e492136b-fe4e-4fb1-8511-f48132bf4729,525433fb-69a9-4464-949b-971bfef5d6a3,2022-05-27 10:48:16,21177,
89600d0a-aaf9-49ef-8c6b-a4e58a2c9f2a,65838dc6-6f18-4b89-aceb-e7b9f4135898,aaa635ce-463f-45cf-8448-0f4c6f4956a2,2022-04-10 09:47:18,949,
8ec95c79-9ced-4752-8356-eb177edc68df,253610eb-232b-45b4-a0a6-3118d48d77c6,2baa0d45-9d0e-47fc-9e25-1fcba9e5fc2f,2022-04-22 10:50:36,1545,
009a68c1-9b89-400a-947b-db333b58a431,4be08daa-3a03-4dc9-9a9a-28531d974eff,4ef003b7-68df-4ce3-a2c9-009a8aff7d6d,2022-04-09 01:35:21,19149,
6494fb4f-17c2-48bc-9eb3-d59643f9972b,7340b50c-308d-45c2-a8ee-1e882294b662,b80c0f9d-476e-4471-a0a0-75d2515fa2af,2022-02-24 20:37:06,2127,
aa534a82-ae99-4d39-a17b-f1e03547bff7,732f9390-9532-4690-9893-6610f66dd448,05a244c1-4e95-46d6-b999-1117849b0b76,2022-04-28 09:12:22,7397,
7b522097-560f-4974-9bdc-e79ebb9d3336,63b7a0bf-67f2-482a-9e0c-bb96e33a6e00,2b43f3d4-66c2-4dc5-ae33-5705eb69b256,2022-01-31 07:18:21,1455,
320e7c2b-4d88-4fb6-8d79-686e53582c5b,e825ae6f-eb5b-4193-b138-84f6512b57a5,f350f610-dd5e-4464-84f3-b32ef27d2c42,2022-06-30 09:37:19,485,
8d4e2a51-989f-4868-b0d3-dd4f65a85fee,bd68495c-3a62-4e95-a72e-b5a078dc8588,12bb11fb-9a95-457c-99e0-754cbf962034,2022-04-22 07:24:14,914,
72d9fad4-0cd3-43dd-b4a9-78beb6edfad1,253610eb-232b-45b4-a0a6-3118d48d77c6,5fe6211a-1465-43d2-bec4-d734ef6b8f8b,2022-01-29 07:38:19,255,
016429b4-e5e9-4071-b7f8-b3b097e45262,a3d684af-808c-4ba5-94c1-dd3084e63fb3,afd71eba-a75a-4672-b2b8-80ba29636a02,2022-03-01 07:44:05,1326,
d97d0f63-730b-4e1b-a750-fb57f159209a,69cd25e8-8a2c-4e3d-957c-a0a034023881,4ab9c3d2-4655-4db4-8ba3-3486cccd2a8b,2022-07-14 00:32:14,173,
